DBN,name,year
02M459,manhattan international high school,2007
13K044,p.s. 044 marcus garvey,2018
22K193,ps 193 gil hodges                               ,2012
31R027,is 027 anning s prall,2009
23K697,teachers preparatory high school                ,2012
27Q253,ps 253,2010
28Q680,queens gateway to health sciences secondary school,2017
15K497,school for international studies,2011
19K218,jhs 218 james p sinnott,2006
10X015,p.s. x015 institute for environmental learning,2014
05M517,teachers college community school,2017
31R030,ps 030 westerleigh,2008
03M421,west prep academy,2017
05M046,ps 046 arthur tappan,2006
27Q207,ps 207 rockwood park,2008
21K225,p.s. k225 - the eileen e. zaglin,2014
21K095,ps 095 the gravesend,2011
24Q585,maspeth high school,2018
15K442,m.s. 442 carroll gardens school for innovation,2017
08X036,ps 036 unionport                                ,2012
84M483,new york french american charter school,2014
22K198,p.s. 198 brooklyn,2017
25Q281,eastwest school of international studies,2010
22K152,school of science & technology,2011
31R036,ps 036 j c drumgoole,2006
07X221,south bronx preparatory: a college board school,2009
07X547,new explorers high school,2016
02M655,life sciences secondary school,2006
31R069,ps 069 daniel d tompkins,2011
24Q014,ps 014 fairview,2007
06M366,washington heights academy,2009
02M077,ps 77 lower lab school,2008
30Q235,academy for new americans                       ,2012
31R047,csi high school for international studies,2015
84K626,achievement first brownsville charter school,2016
25Q281,eastwest school of international studies,2008
10X209,p.s. 209,2016
16K243,ps 243 weeksville                               ,2012
02M425,leadership and public service high school,2008
07X161,ps 161 ponce de leon,2011
16K688,the brooklyn academy of global finance,2010
03M163,ps 163 alfred e smith,2008
10X003,ps 3 raul julia micro society,2011
84M186,harlem hebrew language charter school,2017
18K268,p.s. 268 emma lazarus,2014
29Q265,excelsior preparatory high school,2017
31R038,ps 038 george cromwell,2010
06M528,i.s. 528 bea fuller rodgers school,2018
11X418,bronx high school for the visual arts,2009
12X550,high school of world cultures,2006
03M145,"p.s. 145, the bloomingdale school",2015
30Q234,p.s. 234,2018
24Q199,ps 199 maurice a fitzgerald,2006
25Q242,ps 242,2008
17K568,brownsville academy high school,2010
07X473,mott haven village preparatory high school,2010
06M346,community health academy of the heights,2018
27Q282,knowledge and power preparatory academy vi,2016
21K097,ps 097 the highlawn,2010
03M333,ps 333 manhattan school for children,2006
28Q196,ps 196 grand central pkwy,2010
21K525,edward r. murrow high school,2016
25Q237,i.s. 237,2015
13K056,p.s. 056 lewis h. latimer,2017
12X341,accion academy,2017
14K017,p.s. 017 henry d. woodworth,2017
27Q100,ps 100 glen morris                              ,2012
31R072,is 072 rocco laurie,2011
02M575,manhattan comprehensive night and day high school,2017
31R029,ps 029 bardwell,2007
19K502,fdny - captain vernon a. richard high school for f,2018
24Q153,ps 153 maspeth elem,2010
04M964,central park east ii,2011
02M560,high school m560  city as school,2010
11X289,the young scholars academy of the bronx         ,2012
32K545,ebc high school for public service_x0016_bushwick,2010
84X497,storefront academy charter school,2016
04M409,coalition school for social change,2007
19K615,transit tech career and technical education high,2008
28Q440,forest hills high school,2014
27Q066,ps 066 jacqueline kennedy onassis,2010
08X146,ps 146 edward collins,2011
31R042,ps 042 eltingville                              ,2012
84K742,explore empower charter school,2017
23K156,p.s. 156 waverly,2015
15K698,south brooklyn community high school,2014
02M565,urban academy laboratory high school,2008
31R055,ps 055 henry m boehm,2007
21K226,ps 226 alfred de b.mason,2007
18K673,east brooklyn community high school,2016
12X691,bronx little school,2006
21K177,ps 177 the marlboro,2011
10X399,ms 399,2008
01M650,cascades high school,2016
18K219,p.s. 219 kennedy-king,2014
84K757,unity prep charter school,2016
10X243,west bronx academy for the future               ,2012
30Q149,ps 149 christa mcauliffe                        ,2012
