DBN,name,year
25Q252,the queens school of inquiry,2008
31R049,i.s. 49 berta a. dreyfus,2014
11X265,bronx lab school,2017
31R026,p.s. 026 the carteret school,2017
29Q192,i.s. 192 the linden,2014
18K068,i.s. 068 isaac bildersee,2016
19K149,ps 149 danny kaye,2011
30Q280,p.s. 280,2017
25Q525,townsend harris high school,2018
10X008,ps 008 issac varian,2008
19K502,fdny - captain vernon a. richard high school for f,2015
22K222,p.s. 222 katherine r. snyder,2014
31R018,ps 018 john g whittier,2008
11X083,p.s. 083 donald hertz,2016
31R050,ps 050 frank hankinson,2007
29Q496,business computer applications & entrepreneurshi,2011
02M565,urban academy laboratory high school,2009
30Q212,ps 212,2008
84X380,success academy charter school - bronx 3,2018
05M286,is 286 renaissance mil/ldrshp,2009
02M500,unity center for urban technologies,2006
27Q183,ps 183 dr. richard r. green,2008
30Q127,p.s. 127 aerospace science magnet school,2014
11X542,pelham preparatory academy,2008
11X513,new world high school,2011
21K177,p.s. 177 the marlboro,2014
01M292,orchard collegiate academy,2016
09X303,i.s. x303 leadership & community service,2014
84X389,bronx global learning institute for girls charter,2014
04M610,young women's leadership school,2017
04M083,p.s. 083 luis munoz rivera,2014
28Q328,high school for community leadership,2017
24Q296,pan american international high school,2017
14K610,automotive high school,2017
20K185,ps 185 walter kassenbrock,2008
30Q171,p.s. 171 peter g. van alst,2018
31R036,p.s. 036 j. c. drumgoole,2016
01M361,children's workshop school,2008
20K204,ps 204 vince lombardi,2006
12X521,the metropolitan soundview high school,2017
25Q169,p.s. 169 bay terrace,2016
10X094,ps 094 kings college school,2009
30Q204,is 204 oliver w holmes,2008
25Q540,queens academy high school,2017
01M448,university neighborhood high school,2011
84K741,success academy crown heights (brooklyn 7),2015
04M155,ps 155 william paca,2008
02M308,lower manhattan arts academy,2006
02M289,is 289,2009
02M158,ps 158 bayard taylor,2007
30Q127,ps 127 aerospace science magne,2009
24Q119,is 119 the glendale                             ,2012
11X566,pelham gardens middle school,2017
17K489,w.e.b. dubois academic high school              ,2012
06M128,p.s. 128 audubon,2018
11X121,p.s. 121 throop,2015
08X337,the school for inquiry and social justice,2014
19K158,ps 158 warwick,2006
04M206,p.s. 206 jose celso barbosa,2016
31R009,naples street elementary school,2017
30Q227,i.s. 227 louis armstrong,2015
09X505,bronx school for law government and justice,2008
11X016,ps 016 wakefield,2011
27Q254,ps 254,2007
07X670,health opportunities high school,2015
19K404,academy for young writers,2017
30Q152,p.s. 152 gwendoline n. alleyne school,2018
16K267,ms 267 math science & tech                      ,2012
84K357,kipp amp charter school,2015
29Q036,ps 036 st albans school,2011
11X103,ps 103 hector fontanez,2008
75Q177,p.s. q177,2017
05M036,ps 036 margaret douglas,2009
32K168,the brooklyn school for math and research,2018
84X394,mott haven academy charter school,2015
09X303,i.s. x303 leadership & community service,2017
23K644,eagle academy for young men ii,2011
02M460,washington irving high school,2009
24Q550,high school for arts and business,2016
06M189,ps 189,2008
04M108,ps 108 assmbly angelo del toro,2010
13K439,brooklyn international high school,2016
04M171,ps 171 patrick henry                            ,2012
02M260,m.s. 260 clinton school writers & artists,2018
13K008,p.s. 008 robert fulton,2016
20K205,p.s. 205 clarion,2016
31R024,i s 024 myra s barnes,2010
84K417,urban dove charter school,2016
02M294,high school for history & communication,2008
11X265,bronx lab school                                ,2012
24Q530,international high school at laguardia community c,2017
30Q126,albert shanker school for visual and performing,2008
01M539,new explorations into science tech and math,2008
03M149,ps 149 sojourner truth,2006
11X178,p.s. 178 - dr. selman waksman,2015
15K172,ps 172 beacon sch of excellen,2007
04M610,young women's leadership school,2006
17K191,p.s. 191 paul robeson,2017
14K640,harry van arsdale h.s.,2008
31R036,ps 036 j c drumgoole,2010
09X263,validus preparatory academy: an expeditionary le,2011
03M247,ms 247m dual language mid. sch,2007
10X439,bronx high school for law and community service,2010
31R058,s.s. columbia school                            ,2012
27Q105,ps 105 the bay school,2006
31R016,p.s. 016 john j. driscoll,2015
26Q178,ps 178 holliswood                               ,2012
30Q222,p.s. q222 - fire fighter christopher a. santora sc,2014
84K517,leadership prep bedford stuyvesant uncommon prep c,2014
12X190,e.s.m.t- i.s. 190,2018
75K372,p.s. 372 -the children's school,2015
11X287,north bronx school of empowerment,2014
84K360,launch expeditionary learning charter school,2016
09X313,i.s. 313 school of leadership development,2016
75K372,p.s. 372 -the children's school,2016
02M033,ps 033 chelsea school,2009
30Q230,intermediate school 230,2006
09X250,eximius college preparatory academy: a college boa,2017
24Q455,newtown high school,2010
20K048,ps 048 mapelton,2011
27Q282,knowledge and power preparatory academy vi,2015
29Q033,ps 033 edward m. funk,2009
03M403,the global learning collaborative,2018
22K425,james madison high school,2008
28Q470,jamaica high school                             ,2012
04M007,p.s. 007 samuel stern,2016
08X036,p.s. 036 unionport,2017
02M542,manhattan bridges high school,2007
12X316,kappa iii,2014
02M300,"urban assembly school of design and construction,",2014
28Q139,p.s. 139 rego park,2017
21K329,p.s. 329 surfside,2017
11X513,new world high school,2015
18K633,high school for medical professions,2014
09X110,ps 110 theodore schoenfeld,2007
19K311,essence school,2010
10X213,bronx engineering and technology academy,2015
13K003,p.s. 003 the bedford village,2017
25Q129,ps 129 patricia larkin,2011
19K510,world academy for total community health high scho,2015
04M038,ps 38 roberto clemente,2010
32K299,ps 299 thomas warren field,2007
18K114,ps 114 ryder elementary                         ,2012
13K419,"science skills center high school for science, tec",2016
02M042,ps 042 benjamin altman,2009
26Q315,business technology early college high school,2017
04M171,p.s. 171 patrick henry,2015
02M529,jacqueline kennedy onassis high school,2007
27Q096,p.s. 096,2014
07X184,i s 184 rafael c y molina,2008
13K265,jhs 265 susan s. mckinney,2008
08X302,ms 302 luisa dessus cruz ms,2007
12X286,fannie lou hamer middle school,2014
02M519,talent unlimited high school,2017
28Q161,ps 161 arthur ashe school,2010
16K688,the brooklyn academy of global finance,2015
27Q223,ps 223 lyndon b johnson,2007
06M278,paula hedbavny school,2015
11X076,ps 076 the bennington school                    ,2012
01M019,p.s. 019 asher levy,2017
08X072,ps 072 dr william dorney,2006
19K346,p.s. 346 abe stark,2015
31R030,p.s. 030 westerleigh,2017
31R056,ps 56 the louis desario school,2007
27Q465,far rockaway high school,2008
27Q114,ps 114 belle harbor,2008
07X043,p.s. 043 jonas bronck,2018
13K020,ps 020 clinton hill,2010
11X508,bronxdale high school                           ,2012
09X053,ps 053 basheer quisim                           ,2012
02M041,p.s. 041 greenwich village,2015
06M018,p.s. 018 park terrace,2015
07X161,p.s. 161 juan ponce de leon school,2015
20K204,ps 204 vince lombardi,2007
75M226,p.s. m226,2017
23K645,ebc/eny high school for public safety & law,2006
10X015,ps 015 inst for enviro. lrng.,2010
07X221,south bronx preparatory: a college board school,2017
05M129,p.s. 129 john h. finley,2018
17K246,is 246 walt whitman,2011
08X062,p.s. 062 inocensio casanova,2018
24Q005,i.s. 5 - the walter crowley intermediate school,2016
75X721,p.s. x721 - stephen mcsweeney school,2018
10X445,bronx high school of science,2009
02M150,p.s. 150,2016
08X071,p.s. 071 rose e. scala,2014
84K774,achievement first apollo charter school,2015
24Q089,p.s. 089 elmhurst,2017
11X272,globe school for environmental research,2006
84K395,new visions a.i.m. charter high school i,2017
01M188,p.s. 188 the island school,2018
02M312,nyc lab ms for coll. studies                    ,2012
32K116,ps 116 elizabeth l farrell,2011
10X015,ps 015 inst for enviro. lrng.,2007
09X231,eagle academy for young men,2015
27Q465,far rockaway high school,2006
17K394,ms 394k,2007
02M303,the facing history school,2008
21K559,life academy high school for film and music,2010
17K625,paul robeson high school,2009
06M540,a. philip randolph campus high school,2017
25Q185,j.h.s. 185 edward bleeker,2015
19K364,i s 364 gateway,2007
07X527,bronx leadership academy ii high school,2009
09X339,is 339 school of comm. tech.,2007
32K545,ebc high school for public service - bushwick,2017
04M013,jhs 013 jackie robinson,2010
02M059,ps 059 beekman hill intl,2006
05M092,p.s. 092 mary mcleod bethune,2016
02M305,the urban assembly academy of government and law,2006
03M541,manhattan/hunter science high school,2010
08X014,p.s. x014 senator john calandra,2016
30Q227,i s 227 louis armstrong,2010
26Q205,ps 205 alexander graham bell                    ,2012
07X427,community school for social justice,2006
14K582,ms 582,2010
28Q072,jhs 072 cath. & count basie,2010
14K474,progress high school for professional careers,2010
10X003,ps 3 raul julia micro society,2009
11X097,ps 097 bronx,2008
29Q283,preparatory academy for writers: a college board,2009
28Q050,ps 050 talfourd lawn elementary school          ,2012
18K673,east brooklyn community high school,2014
28Q206,ps 206 horace harding,2008
31R057,ps 057 hubert h humphrey                        ,2012
09X328,new millennium business academy middle school,2008
02M420,high school for health professions and human servi,2017
21K400,lafayette high school,2009
10X118,jhs 118 william w niles,2009
30Q204,i.s. 204 oliver w. holmes,2014
22K312,ps 312 bergen beach,2007
32K291,j.h.s. 291 roland hayes,2015
18K276,ps 276 louis marshall                           ,2012
27Q043,ps 043                                          ,2012
14K023,ps 023 carter c woodson,2008
31R008,ps 8 shirlee solomon,2006
29Q289,queens united middle school,2015
19K290,ps 290 juan morel campos,2011
09X413,bronx high school for medical science,2017
84X208,new visions charter high school for the humanities,2018
09X170,p.s. 170,2014
09X219,i.s. 219 new venture school,2014
13K674,"city polytechnic high school of engineering, archi",2016
02M529,jacqueline kennedy onassis high school,2011
20K506,new school #2 @ k314                            ,2012
06M326,ms 326  writers today & leaders tomorrow,2011
10X310,p.s. 310 marble hill,2017
09X236,p.s. 236 langston hughes,2017
11X545,bronx aerospace academy,2008
14K126,jhs 126 john ericsson,2010
22K254,ps 254 dag hammarskjold,2011
